company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
Binance,Binance Accelerator Program - Data Scientist (Recommendation/Square Community),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/684ead60-5f7f-4ed9-bfc5-9f69c67af9a6,lever:binance,sqlite,684ead60-5f7f-4ed9-bfc5-9f69c67af9a6,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,100,ai
Binance,Binance Accelerator Program - Data Scientist (User Growth),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/90f277fe-fd32-4027-be91-960677df96b3,lever:binance,sqlite,90f277fe-fd32-4027-be91-960677df96b3,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,100,ai
Binance,Binance Accelerator Program - DevSecOps Engineer,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/7f4d579c-40f1-4f5e-a595-dcbd86ce6106,lever:binance,sqlite,7f4d579c-40f1-4f5e-a595-dcbd86ce6106,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - Full Stack Engineer,"Asia, Hong Kong, Taiwan, Taipei, Kuala Lumpur, Thailand, Bangkok",https://jobs.lever.co/binance/ac0a2ef0-61f8-4440-ab3d-faf0bbb9b584,lever:binance,sqlite,ac0a2ef0-61f8-4440-ab3d-faf0bbb9b584,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - Full Stack Engineer (AI Pro / Agent Infrastructure) Fully Remote,"Asia, Taiwan, Taipei, New Zealand, Auckland, New Zealand, Wellington, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Kuala Lumpur, Hong Kong",https://jobs.lever.co/binance/dc0c742c-847c-4b86-88df-ddac253399a8,lever:binance,sqlite,dc0c742c-847c-4b86-88df-ddac253399a8,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - Full Stack Engineer (AI),"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/43c20b4a-fbe2-4b1d-9c0b-7cdbe2bb2aac,lever:binance,sqlite,43c20b4a-fbe2-4b1d-9c0b-7cdbe2bb2aac,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - LLM Model Training & Data Processing,"Asia, Australia, Sydney, Australia, Melbourne, UAE, Dubai, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/cf2742fc-27f2-410c-a2be-afa32c771c01,lever:binance,sqlite,cf2742fc-27f2-410c-a2be-afa32c771c01,not stated,market: no benchmark for this role family,ml_research,now_intern,100,ai
Binance,Binance Accelerator Program - Performance Engineer,"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/12fb8c98-299b-4704-b1ce-d1a2c5325f64,lever:binance,sqlite,12fb8c98-299b-4704-b1ce-d1a2c5325f64,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,"Binance Accelerator Program - QA Engineer, App testing (Java, SQL)","Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/d1aa9019-a6de-4187-a64a-d7c0db657e0f,lever:binance,sqlite,d1aa9019-a6de-4187-a64a-d7c0db657e0f,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,"Binance Accelerator Program - QA Engineer, Compliance (Java, SQL)","Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/118f0853-9095-41bd-bc2b-36742427ce4d,lever:binance,sqlite,118f0853-9095-41bd-bc2b-36742427ce4d,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,"Binance Accelerator Program - QA Engineer, Compliance (Java, SQL)","Asia, Taiwan, Taipei",https://jobs.lever.co/binance/5867e405-db64-4797-ae2b-34d8902212d2,lever:binance,sqlite,5867e405-db64-4797-ae2b-34d8902212d2,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - Quantitative Trading Strategy Algorithm,"Hong Kong, Taiwan, Taipei, Australia, Sydney",https://jobs.lever.co/binance/2c4cc156-f1bc-4bfd-b3f3-8b1505d4a5d4,lever:binance,sqlite,2c4cc156-f1bc-4bfd-b3f3-8b1505d4a5d4,not stated,"market: ~NT$110,000/month entry (NT$1.33M/yr), higher with bonus",quant,now_intern,100,ai
Binance,Binance Accelerator Program - Quantitative Trading Strategy Algorithm,Taipei,https://web3.career/binance-accelerator-program-quantitative-trading-strategy-algorithm-binance/154244,web3career,sqlite,154244,not stated,"market: ~NT$110,000/month entry (NT$1.33M/yr), higher with bonus",quant,now_intern,100,ai
Binance,Binance Accelerator Program - Research Data Scientist,"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/ca44ee4e-392b-4745-9ad9-8e287f5a6d37,lever:binance,sqlite,ca44ee4e-392b-4745-9ad9-8e287f5a6d37,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,now_intern,100,ai
Binance,Binance Accelerator Program - Research On Chain Data Analyst,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/fb9d588a-e49e-4496-a464-9c6c5cc4ca46,lever:binance,sqlite,fb9d588a-e49e-4496-a464-9c6c5cc4ca46,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,now_intern,55,en
Binance,Binance Accelerator Program - Software Engineer (Cryptography),"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/46a73996-5e3c-4746-928a-148b754cac5c,lever:binance,sqlite,46a73996-5e3c-4746-928a-148b754cac5c,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program - TechOps Engineer (MENA Timezone),"Asia, Taiwan, Taipei, UAE, Dubai",https://jobs.lever.co/binance/b1b01056-0de9-4b4a-9962-bee31fb8e7d3,lever:binance,sqlite,b1b01056-0de9-4b4a-9962-bee31fb8e7d3,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Program -AI Agent Observability Engineer,"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/10e9173b-7cef-402b-9223-ac61599f005c,lever:binance,sqlite,10e9173b-7cef-402b-9223-ac61599f005c,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Programm - Software Engineer (Convert),Taipei,https://web3.career/binance-accelerator-programm-software-engineer-convert-binance/153909,web3career,sqlite,153909,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Programm - Software Engineer (Convert),"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/a6651f27-4e58-4841-91ae-5c79e2296d36,lever:binance,sqlite,a6651f27-4e58-4841-91ae-5c79e2296d36,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Programm - Software Engineer (Ledger),"Taiwan, Taipei, Asia, Hong Kong",https://jobs.lever.co/binance/deb28ea3-d0de-4fa4-ba31-f6f9ead74838,lever:binance,sqlite,deb28ea3-d0de-4fa4-ba31-f6f9ead74838,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Programm - Software Engineer (Reconciliation),"Taiwan, Taipei, Asia, Hong Kong",https://jobs.lever.co/binance/aecc4a9f-a131-4eaa-8771-d482168c8ca8,lever:binance,sqlite,aecc4a9f-a131-4eaa-8771-d482168c8ca8,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Programm - Software Engineer (Stocks),"Taiwan, Taipei, Asia, Hong Kong",https://jobs.lever.co/binance/f1aa0f91-9dac-4eba-bfd7-b39fc4f98cb2,lever:binance,sqlite,f1aa0f91-9dac-4eba-bfd7-b39fc4f98cb2,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Programm - Software Engineer Web3,"Taiwan, Taipei, Asia, Hong Kong",https://jobs.lever.co/binance/87bdaff2-8c97-420f-8cbb-20ec0f6c38cb,lever:binance,sqlite,87bdaff2-8c97-420f-8cbb-20ec0f6c38cb,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,now_intern,55,en
Binance,Binance Accelerator Programme - LLM Data Scientist,"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/e21ea35c-3cb2-479e-9d74-c8149441d9fb,lever:binance,sqlite,e21ea35c-3cb2-479e-9d74-c8149441d9fb,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,now_intern,100,ai
Binance,Business Intelligence/ Data Analystics,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/e2cec219-a165-4baa-bb22-33be2e2f3063,lever:binance,sqlite,e2cec219-a165-4baa-bb22-33be2e2f3063,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,5,en
Binance,"Client Full-Stack Engineer — IM Chat Platform, Android Focus","Asia, Hong Kong, Taiwan, Taipei, Australia, Sydney",https://jobs.lever.co/binance/38bc828a-8273-4000-83c8-1c666db2207a,lever:binance,sqlite,38bc828a-8273-4000-83c8-1c666db2207a,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Core Experience & AI Product Manager,"Asia, Hong Kong, Taiwan, Taipei, Kuala Lumpur",https://jobs.lever.co/binance/89632468-7fb8-4330-9c4a-dff205b1d5f2,lever:binance,sqlite,89632468-7fb8-4330-9c4a-dff205b1d5f2,not stated,market: no benchmark for this role family,other,later_senior,5,en
Binance,Core Experience & AI Product Manager（6-month contractor）,"Taiwan, Taipei, Asia, Hong Kong",https://jobs.lever.co/binance/f46e700b-fd02-4806-9202-6c4d7d370b21,lever:binance,sqlite,f46e700b-fd02-4806-9202-6c4d7d370b21,not stated,market: no benchmark for this role family,other,later_senior,5,en
Binance,Data Analytics Manager (Risk/Fraud/KYC),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/88a5d981-4dbd-4571-80f1-b72321e67eb6,lever:binance,sqlite,88a5d981-4dbd-4571-80f1-b72321e67eb6,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,later_senior,5,en
Binance,"Data Product Manager, Derivatives (12 months contract)","Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/d3f92311-36f0-41d7-a280-e955ed9e6ccb,lever:binance,sqlite,d3f92311-36f0-41d7-a280-e955ed9e6ccb,not stated,market: no benchmark for this role family,other,later_senior,5,en
Binance,Data Scientist (Search & Recommendation),"Asia, Taiwan, Taipei, Australia, Sydney, Ireland, Dublin, Thailand, Bangkok, Japan, Tokyo, Hong Kong",https://jobs.lever.co/binance/f38e2764-fd2f-4030-8a0c-cde213134027,lever:binance,sqlite,f38e2764-fd2f-4030-8a0c-cde213134027,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,ft,70,ai
Binance,Data Scientist（LLM）,"Taiwan, Taipei, Hong Kong, Asia",https://jobs.lever.co/binance/b44b5f08-7cfd-48bd-b2a1-03b6ffb987c7,lever:binance,sqlite,b44b5f08-7cfd-48bd-b2a1-03b6ffb987c7,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,ft,70,ai
Binance,"Data/ Java Engineer (AI/LLM Chatbot, Customer Service)","Hong Kong, Taiwan, Taipei, Thailand, Bangkok, South East Asia, Vietnam, Ho Chi Minh, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Asia",https://jobs.lever.co/binance/853feeaa-7584-4ee0-8173-dad1b548141a,lever:binance,sqlite,853feeaa-7584-4ee0-8173-dad1b548141a,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",ml_research,ft,70,ai
Binance,"Financial Data Engineer, AI/LLM","Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/82bccb78-add0-4428-a80b-59b9ac7cf65f,lever:binance,sqlite,82bccb78-add0-4428-a80b-59b9ac7cf65f,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",ml_research,ft,70,ai
Binance,"Financial Data Engineer, AI/LLM",Taipei,https://web3.career/financial-data-engineer-ai-llm-binance/154243,web3career,sqlite,154243,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",ml_research,ft,70,ai
Binance,Flutter Engineer (iOS),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/4cba8c12-a297-4036-84db-aef836169a36,lever:binance,sqlite,4cba8c12-a297-4036-84db-aef836169a36,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Frontend Engineer - Compliance Tech,"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/d06cced2-d8cc-4587-a747-64771019ec3c,lever:binance,sqlite,d06cced2-d8cc-4587-a747-64771019ec3c,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Full Stack Engineer (AI),"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/767b467a-cb7f-4e48-98a5-de376a0923b0,lever:binance,sqlite,767b467a-cb7f-4e48-98a5-de376a0923b0,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Full Stack Engineer (Frontend Oriented) — Identity & Security,"Hong Kong, Taiwan, Taipei, Asia, Thailand, Bangkok, South East Asia, Vietnam, Ho Chi Minh, Japan, Tokyo, Australia, Brisbane, Australia, Melbourne, Australia, Sydney",https://jobs.lever.co/binance/a90333e6-777f-41fd-9bf5-50f5895ffde3,lever:binance,sqlite,a90333e6-777f-41fd-9bf5-50f5895ffde3,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Full Stack Engineer - KYC Tech (fully remote!),"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/a91c8c01-cd4f-41af-9a8f-1f3c7041cc64,lever:binance,sqlite,a91c8c01-cd4f-41af-9a8f-1f3c7041cc64,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Golang Engineer (Recommendation Systems) - AI Agent Engineering,"Hong Kong, Taiwan, Taipei, Asia, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, South East Asia, Vietnam, Ho Chi Minh",https://jobs.lever.co/binance/eb2c1d7c-ad2c-4c76-b929-efb1a79cd5d8,lever:binance,sqlite,eb2c1d7c-ad2c-4c76-b929-efb1a79cd5d8,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,"Java Backend Engineer, Global Travel Rule (GTR)","Asia, Taiwan, Taipei, Hong Kong, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Vietnam, Ho Chi Minh, Thailand, Bangkok",https://jobs.lever.co/binance/913620d8-db8a-45d3-9969-4929e3e3b558,lever:binance,sqlite,913620d8-db8a-45d3-9969-4929e3e3b558,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Java Platform Performance Engineer (Performance Optimization) Fully Remote,"Asia, Hong Kong, Taiwan, Taipei, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, New Zealand, Auckland, New Zealand, Wellington",https://jobs.lever.co/binance/7cab4858-ede6-4e29-a62f-a0abf5ca3b50,lever:binance,sqlite,7cab4858-ede6-4e29-a62f-a0abf5ca3b50,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,"Junior Backend Engineer, Java - Web 3 Wallet","Taiwan, Taipei, Japan, Tokyo, UAE, Dubai, Australia, Brisbane, Australia, Melbourne, Australia, Sydney",https://jobs.lever.co/binance/b47da2b5-fbd0-4b17-b0db-2b5b33e92ed0,lever:binance,sqlite,b47da2b5-fbd0-4b17-b0db-2b5b33e92ed0,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Junior Software Engineer（AI&LLM),"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/88fe7933-859b-47e7-a1a0-29c5e14de573,lever:binance,sqlite,88fe7933-859b-47e7-a1a0-29c5e14de573,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",ml_research,ft,70,ai
Binance,LLM Applied Data Scientist (RAG/ NLP),"Taiwan, Taipei, Hong Kong, Australia, Brisbane",https://jobs.lever.co/binance/834478e8-854c-40d0-8093-7bc0a5e080d5,lever:binance,sqlite,834478e8-854c-40d0-8093-7bc0a5e080d5,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,ft,70,ai
Binance,LLM Data Scientist/Algorithm Engineer (Top Talent Program),"Asia, New Zealand, Auckland, New Zealand, Wellington, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Taiwan, Taipei, Hong Kong, Japan, Tokyo, Switzerland, Zurich",https://jobs.lever.co/binance/80a64970-528f-4d90-aada-84284bd6f1f3,lever:binance,sqlite,80a64970-528f-4d90-aada-84284bd6f1f3,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",ml_research,ft,70,ai
Binance,"Pioneer Talent Program - AI Engineer, Dev Tools","Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/99631399-d024-47b5-ade5-8bd1e947f782,lever:binance,sqlite,99631399-d024-47b5-ade5-8bd1e947f782,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,5,ai
Binance,Pioneer Talent Program - Applied AI Agent/AI Productivity Engineer (Top Talent Program),"Asia, Taiwan, Taipei, Hong Kong, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, New Zealand, Auckland, New Zealand, Wellington",https://jobs.lever.co/binance/f6e78b0c-f9a5-459b-ac09-d8951f9a47ba,lever:binance,sqlite,f6e78b0c-f9a5-459b-ac09-d8951f9a47ba,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,"Pioneer Talent Program - Full Stack AI Engineer, Backend Oriented (Top Talent Program)","Asia, Taiwan, Taipei, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Hong Kong, Japan, Tokyo, New Zealand, Auckland, Netherlands, Amsterdam",https://jobs.lever.co/binance/58cacd4c-78f1-423b-b6e4-9bab15e01ba1,lever:binance,sqlite,58cacd4c-78f1-423b-b6e4-9bab15e01ba1,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,5,ai
Binance,"Pioneer Talent Program - Full Stack AI Engineer, Fronted Oriented (Top Talent Program)","Asia, Taiwan, Taipei, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Hong Kong, Kuala Lumpur",https://jobs.lever.co/binance/ab26c3f8-3728-4750-a07b-88adb962e3bc,lever:binance,sqlite,ab26c3f8-3728-4750-a07b-88adb962e3bc,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,5,ai
Binance,Pioneer Talent Program - Full Stack Engineer (AI),"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/611e1c39-49b4-4cc1-bd07-faf200a92022,lever:binance,sqlite,611e1c39-49b4-4cc1-bd07-faf200a92022,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Pioneer Talent Program - Full Stack Engineer (Back-end Oriented),"Asia, Hong Kong, Taiwan, Taipei, Kuala Lumpur, Thailand, Bangkok, UAE, Dubai",https://jobs.lever.co/binance/fdee019b-d17e-4655-99c4-b8d31d8e61c5,lever:binance,sqlite,fdee019b-d17e-4655-99c4-b8d31d8e61c5,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,Pioneer Talent Program - Full Stack Engineer (Front-end Oriented),"Asia, Hong Kong, Taiwan, Taipei, Kuala Lumpur, Thailand, Bangkok, UAE, Dubai",https://jobs.lever.co/binance/990a9661-c72f-4d91-a69d-c0ada1de40b0,lever:binance,sqlite,990a9661-c72f-4d91-a69d-c0ada1de40b0,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,"Pioneer Talent Program - Product Manager, Quant Trading","Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/0b68eaf4-cc50-4988-b0f7-51679c4a9e92,lever:binance,sqlite,0b68eaf4-cc50-4988-b0f7-51679c4a9e92,not stated,"market: ~NT$110,000/month entry (NT$1.33M/yr), higher with bonus",quant,later_senior,25,ai
